Category,Message
ham,I'll call you later in the evening. Have a great day!
spam,FREE Bitcoin giveaway! Get 2 BTC for signing up today. Limited slots available!
ham,I'll call you later in the evening. Have a great day!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
ham,"Hey, are we still on for the meeting tomorrow at 10 AM? Let me know."
spam,Earn $500 per day from home with this simple trick. Sign up now!
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,I'll call you later in the evening. Have a great day!
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
ham,Your order has been shipped and will arrive in 3-5 business days.
spam,"Exclusive deal just for you! Buy one, get one free on all electronics. Limited stock available!"
ham,Your order has been shipped and will arrive in 3-5 business days.
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
ham,Let's catch up this weekend. Maybe a coffee on Saturday?
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
ham,Let's catch up this weekend. Maybe a coffee on Saturday?
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,FREE Bitcoin giveaway! Get 2 BTC for signing up today. Limited slots available!
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,I'll call you later in the evening. Have a great day!
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
spam,FREE Bitcoin giveaway! Get 2 BTC for signing up today. Limited slots available!
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
ham,Your order has been shipped and will arrive in 3-5 business days.
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,"Hey, are we still on for the meeting tomorrow at 10 AM? Let me know."
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
ham,Your order has been shipped and will arrive in 3-5 business days.
ham,"Hey, are we still on for the meeting tomorrow at 10 AM? Let me know."
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
spam,Earn $500 per day from home with this simple trick. Sign up now!
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,I'll call you later in the evening. Have a great day!
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
ham,I'll call you later in the evening. Have a great day!
ham,Thanks for your email. I’ll review the document and get back to you soon.
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,I'll call you later in the evening. Have a great day!
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
spam,FREE Bitcoin giveaway! Get 2 BTC for signing up today. Limited slots available!
ham,Your order has been shipped and will arrive in 3-5 business days.
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,Thanks for your email. I’ll review the document and get back to you soon.
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
spam,Your PayPal account is on hold due to suspicious activity. Confirm your identity now!
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
ham,Thanks for your email. I’ll review the document and get back to you soon.
spam,Earn $500 per day from home with this simple trick. Sign up now!
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
ham,Your order has been shipped and will arrive in 3-5 business days.
spam,"Exclusive deal just for you! Buy one, get one free on all electronics. Limited stock available!"
ham,Let's catch up this weekend. Maybe a coffee on Saturday?
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
ham,I'll call you later in the evening. Have a great day!
ham,"Hey, are we still on for the meeting tomorrow at 10 AM? Let me know."
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,Thanks for your email. I’ll review the document and get back to you soon.
ham,Thanks for your email. I’ll review the document and get back to you soon.
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
spam,FREE Bitcoin giveaway! Get 2 BTC for signing up today. Limited slots available!
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
spam,Earn $500 per day from home with this simple trick. Sign up now!
ham,Your order has been shipped and will arrive in 3-5 business days.
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
ham,Thanks for your email. I’ll review the document and get back to you soon.
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,Thanks for your email. I’ll review the document and get back to you soon.
ham,Let's catch up this weekend. Maybe a coffee on Saturday?
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,"Hey, are we still on for the meeting tomorrow at 10 AM? Let me know."
spam,Earn $500 per day from home with this simple trick. Sign up now!
ham,Let's catch up this weekend. Maybe a coffee on Saturday?
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
spam,Earn $500 per day from home with this simple trick. Sign up now!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,Earn $500 per day from home with this simple trick. Sign up now!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,"Exclusive deal just for you! Buy one, get one free on all electronics. Limited stock available!"
ham,Your order has been shipped and will arrive in 3-5 business days.
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
ham,"Hey, are we still on for the meeting tomorrow at 10 AM? Let me know."
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
ham,Your order has been shipped and will arrive in 3-5 business days.
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
ham,I'll call you later in the evening. Have a great day!
spam,Earn $500 per day from home with this simple trick. Sign up now!
spam,Your PayPal account is on hold due to suspicious activity. Confirm your identity now!
spam,Earn $500 per day from home with this simple trick. Sign up now!
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
spam,FREE Bitcoin giveaway! Get 2 BTC for signing up today. Limited slots available!
spam,FREE Bitcoin giveaway! Get 2 BTC for signing up today. Limited slots available!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,Your PayPal account is on hold due to suspicious activity. Confirm your identity now!
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
ham,I'll call you later in the evening. Have a great day!
spam,"Exclusive deal just for you! Buy one, get one free on all electronics. Limited stock available!"
ham,Let's catch up this weekend. Maybe a coffee on Saturday?
spam,Final reminder: Your car warranty is about to expire. Renew it now before it’s too late!
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,Your order has been shipped and will arrive in 3-5 business days.
spam,"Congratulations! You've won a $1,000 gift card. Click here to claim now!"
ham,The project deadline is next Monday. Let's schedule a call to discuss the details.
spam,You have won a free vacation to the Bahamas! Call now to claim your prize.
spam,"Exclusive deal just for you! Buy one, get one free on all electronics. Limited stock available!"
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
spam,Earn $500 per day from home with this simple trick. Sign up now!
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
spam,Your PayPal account is on hold due to suspicious activity. Confirm your identity now!
spam,Get a 50% discount on all premium watches! Offer expires soon. Click the link below.
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
ham,Please remember to submit the assignment by Friday. Let me know if you have any questions.
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,Your PayPal account is on hold due to suspicious activity. Confirm your identity now!
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
spam,Your PayPal account is on hold due to suspicious activity. Confirm your identity now!
ham,"Mom, I'll be home by 7 PM. Can we have dinner together?"
ham,Happy Birthday! Hope you have a fantastic day with lots of cake and fun.
ham,"Hey, are we still on for the meeting tomorrow at 10 AM? Let me know."
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
spam,URGENT: Your bank account has been compromised. Verify your details immediately!
ham,Your order has been shipped and will arrive in 3-5 business days.
ham,I'll call you later in the evening. Have a great day!
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
spam,"Dear customer, your lottery winnings of $10,000 are waiting for you. Click here to claim."
ham,I'll call you later in the evening. Have a great day!
ham,Can you send me the report by EOD? I need it for my presentation tomorrow.
ham,Your order has been shipped and will arrive in 3-5 business days.
spam,Earn $500 per day from home with this simple trick. Sign up now!
