userId,screen_time_hrs_per_day,gaming_time,social_media_time,data_usage_gb_per_day,addicted
1,6.99,2.05,3.07,1.09,1
2,6.56,4.54,0.1,1.49,1
3,5.06,0.75,0.17,1.08,0
4,1.0,0.11,0.18,0.63,0
5,4.18,0.41,1.5,0.16,0
6,11.12,0.2,0.32,1.93,1
7,4.8,1.84,1.44,0.7,0
8,4.93,3.32,1.16,0.84,1
9,6.42,2.86,0.65,0.28,1
10,6.44,5.41,0.53,1.42,1
11,5.77,1.63,0.61,0.85,0
12,3.31,1.55,0.25,0.24,0
13,4.65,0.01,0.02,1.04,0
14,7.79,0.37,0.21,1.57,1
15,6.66,2.06,0.14,1.49,1
16,8.36,0.6,4.73,0.99,1
17,6.72,2.24,2.87,0.85,1
18,12.0,5.0,0.13,1.53,1
19,6.17,0.95,0.99,0.91,1
20,4.93,2.87,0.85,0.24,1
21,4.38,0.78,3.29,0.56,1
22,6.51,0.13,1.08,1.2,1
23,4.6,0.6,0.45,0.66,0
24,1.0,0.19,0.03,0.39,0
25,5.68,0.88,2.07,1.11,0
26,5.96,1.28,0.51,0.32,1
27,6.12,0.23,0.09,2.0,1
28,4.85,0.03,2.34,0.66,0
29,8.29,0.54,1.43,1.64,1
30,8.81,4.29,0.43,1.98,1
31,4.02,0.07,0.09,0.48,0
32,6.02,0.48,0.88,0.86,1
33,4.16,3.36,0.54,1.34,0
34,5.29,0.64,2.85,1.12,0
35,2.79,0.03,0.23,0.59,0
36,3.12,0.3,0.79,1.04,0
37,6.5,3.82,0.35,1.21,1
38,6.45,0.05,0.01,1.41,1
39,9.73,4.92,1.42,1.75,1
40,4.5,1.18,2.18,0.32,0
41,7.64,0.46,0.26,2.0,1
42,7.76,1.01,3.89,1.17,1
43,5.47,0.3,0.77,2.01,0
44,6.08,0.06,1.02,0.96,1
45,5.55,0.01,0.08,1.22,0
46,5.1,0.29,1.67,1.18,0
47,6.43,1.83,4.19,0.57,1
48,6.46,5.5,0.9,0.75,1
49,6.72,1.39,3.29,1.33,1
50,7.81,0.84,5.49,1.03,1
51,7.03,1.96,3.65,2.7,1
52,6.46,1.36,0.82,1.14,0
53,5.03,1.07,1.27,0.89,0
54,5.17,0.03,0.16,0.91,0
55,6.13,3.7,1.02,0.59,1
56,10.78,1.88,4.99,2.45,1
57,1.95,1.13,0.42,0.47,0
58,4.46,0.65,0.12,1.43,0
59,9.53,4.53,1.76,1.69,1
60,6.75,2.4,1.73,1.77,1
61,8.53,0.11,0.01,1.1,0
62,5.53,0.27,0.27,1.68,0
63,5.49,0.84,1.35,0.42,0
64,5.74,1.78,1.81,0.77,0
65,4.04,0.1,0.19,0.89,1
66,7.29,2.57,1.63,1.24,1
67,10.27,5.94,3.73,0.86,1
68,5.03,0.25,1.35,0.94,1
69,4.82,0.17,0.4,1.16,0
70,6.72,3.88,1.52,1.34,1
71,7.49,4.36,3.06,1.47,1
72,4.66,0.61,3.73,1.26,1
73,7.65,0.08,0.71,1.57,1
74,4.95,2.71,1.72,1.22,0
75,6.65,2.7,3.62,1.05,1
76,2.42,0.26,0.54,0.28,0
77,7.25,0.33,0.33,1.44,0
78,1.82,1.05,0.57,1.08,0
79,6.83,3.79,0.43,0.9,0
80,5.13,1.24,2.98,0.95,0
81,3.1,0.13,2.39,0.1,0
