song_name,valence,energy,danceability,acousticness,tempo,liveness,mood
Mercury: Retrograde,0.389,0.8140000000000001,0.831,0.0598,156.985,0.0556,Energetic
Pathology,0.124,0.493,0.7190000000000001,0.401,115.08,0.118,Chill
Symbiote,0.0391,0.893,0.85,0.0138,218.05,0.372,Energetic
ProductOfDrugs (Prod. The Virus and Antidote),0.175,0.7809999999999999,0.476,0.0237,186.948,0.114,Chill
Venom,0.591,0.624,0.7979999999999999,0.217,147.988,0.166,Party
Gatteka,0.109,0.568,0.721,0.0452,144.915,0.128,Party
kamikaze (+ pulse),0.038,0.6679999999999999,0.718,0.0254,130.826,0.124,Party
T.R.U. (Totally Rotten Underground),0.283,0.711,0.6940000000000001,0.0397,138.049,0.1119999999999999,Chill
I Put My Dick in Your Mental,0.1889999999999999,0.7509999999999999,0.774,0.0614,219.96,0.0728,Energetic
Andromeda,0.302,0.907,0.893,0.152,199.942,0.5579999999999999,Energetic
BRAINFOOD,0.0478,0.365,0.8640000000000001,0.187,189.938,0.1159999999999999,Sad
Troll Under the Bridge,0.18,0.932,0.736,0.146,124.514,0.182,Energetic
1000 Rounds,0.161,0.7609999999999999,0.825,0.0111,149.97,0.3339999999999999,Energetic
Sacrifice,0.187,0.5760000000000001,0.767,0.145,139.99,0.0968,Party
Backpack,0.27,0.726,0.765,0.0077,128.014,0.619,Party
D(R)Own,0.43,0.541,0.617,0.125,159.996,0.369,Chill
"Okay,ButThisIsTheLastTime",0.0372,0.298,0.755,0.154,199.958,0.1009999999999999,Sad
TakingOutTheTrash,0.288,0.575,0.8140000000000001,0.172,120.004,0.109,Party
Io sono qui,0.348,0.813,0.812,0.0987,128.066,0.0758,Energetic
Paris,0.196,0.648,0.8490000000000001,0.0725,212.15,0.0984,Party
Murder,0.156,0.578,0.602,0.0343,114.956,0.1639999999999999,Chill
High 'N Mighty,0.72,0.768,0.8759999999999999,0.1119999999999999,111.958,0.283,Happy
Euronymous,0.293,0.711,0.777,0.312,139.97299999999998,0.205,Party
Hades,0.332,0.59,0.8290000000000001,0.0391,112.97,0.114,Chill
Nails,0.152,0.929,0.7829999999999999,0.2,118.03,0.6890000000000001,Energetic
Squeeze,0.21,0.727,0.787,0.000997,141.52,0.376,Party
No Teeth,0.3979999999999999,0.648,0.705,0.00476,130.037,0.373,Party
Bang Ya Fucking Head,0.0797,0.76,0.69,0.0525,125.013,0.134,Energetic
BLUE JUICE,0.8640000000000001,0.966,0.799,0.089,139.967,0.6579999999999999,Happy
Loch Ness,0.363,0.476,0.936,0.0139,121.979,0.402,Party
Hold Uh,0.2239999999999999,0.634,0.838,0.00537,114.771,0.111,Chill
Bone Saw,0.474,0.51,0.964,0.000214,130.028,0.0549,Party
Coffin Wave,0.561,0.387,0.83,0.0858,120.006,0.0926,Chill
OhNo!,0.2789999999999999,0.525,0.455,0.136,119.999,0.125,Chill
TheArtOfCremation,0.193,0.573,0.748,0.484,117.962,0.0929,Chill
OakGroveRoad,0.522,0.688,0.745,0.264,114.997,0.077,Motivational
WhatWasThat,0.128,0.519,0.722,0.0253,199.974,0.1889999999999999,Party
FunnyToSeeYouHere,0.153,0.473,0.657,0.2319999999999999,150.029,0.108,Chill
John Dee,0.168,0.474,0.936,0.0213,129.999,0.111,Party
Kybalion,0.218,0.62,0.765,0.0643,219.808,0.16,Party
Killer,0.256,0.952,0.65,0.0912,209.998,0.337,Energetic
608,0.193,0.936,0.386,0.1009999999999999,190.15,0.381,Chill
Eternal Dreams,0.0396,0.68,0.563,0.236,180.218,0.122,Chill
Nightmare Choir (I Been Asleep Too Long),0.462,0.902,0.777,0.0905,129.985,0.275,Energetic
Exodus,0.18,0.7490000000000001,0.607,0.0064099999999999,121.829,0.2339999999999999,Chill
Vengeance,0.0387,0.573,0.628,0.00362,115.503,0.0874,Chill
Claustrophobia,0.0387,0.325,0.4679999999999999,0.115,191.186,0.109,Sad
Rearranged,0.132,0.44,0.512,0.00386,207.992,0.233,Chill
Paralax,0.878,0.48,0.504,0.8320000000000001,173.993,0.1009999999999999,Chill
Exsanguination,0.0637,0.662,0.608,0.0246,117.031,0.0409,Chill
Mutiny,0.173,0.684,0.7829999999999999,0.00873,141.037,0.222,Party
Centipede,0.102,0.479,0.6679999999999999,0.0612,162.12,0.12,Chill
Грустная сука,0.0356,0.617,0.528,0.2019999999999999,119.047,0.146,Chill
This World Is Sick,0.0292,0.7559999999999999,0.7959999999999999,0.0059,120.01,0.128,Energetic
Пламя,0.0392,0.381,0.299,0.445,136.46200000000002,0.0932,Sad
2:45,0.175,0.64,0.644,0.00329,217.888,0.146,Chill
who is he,0.24,0.843,0.473,0.00345,143.29399999999998,0.102,Chill
Sleeping,0.0392,0.618,0.471,0.0219,110.337,0.16,Chill
Timeless,0.1169999999999999,0.446,0.665,0.069,115.282,0.3229999999999999,Chill
Pound for Pound,0.248,0.7070000000000001,0.812,0.236,219.984,0.5870000000000001,Party
Finger Trembling,0.253,0.897,0.262,0.0237,199.651,0.11,Chill
Overload,0.177,0.865,0.5710000000000001,0.0042,150.017,0.0906,Chill
Kill Yourself (Part III),0.19,0.679,0.753,0.324,211.954,0.423,Party
