song_name,valence,danceability,energy,tempo,liveness,loudness,speechiness,acousticness,mood
Mercury: Retrograde,0.389,0.831,0.8140000000000001,156.985,0.0556,-7.364,0.42,0.0598,Angry
Pathology,0.124,0.7190000000000001,0.493,115.08,0.118,-7.23,0.0794,0.401,Calm
Symbiote,0.0391,0.85,0.893,218.05,0.372,-4.783,0.0623,0.0138,Angry
ProductOfDrugs (Prod. The Virus and Antidote),0.175,0.476,0.7809999999999999,186.948,0.114,-4.71,0.103,0.0237,Angry
Venom,0.591,0.7979999999999999,0.624,147.988,0.166,-7.667999999999999,0.293,0.217,Calm
Gatteka,0.109,0.721,0.568,144.915,0.128,-11.295,0.414,0.0452,Calm
kamikaze (+ pulse),0.038,0.718,0.6679999999999999,130.826,0.124,-4.162,0.1369999999999999,0.0254,Angry
T.R.U. (Totally Rotten Underground),0.283,0.6940000000000001,0.711,138.049,0.1119999999999999,-5.525,0.221,0.0397,Angry
I Put My Dick in Your Mental,0.1889999999999999,0.774,0.7509999999999999,219.96,0.0728,-2.445,0.198,0.0614,Angry
BRAINFOOD,0.0478,0.8640000000000001,0.365,189.938,0.1159999999999999,-10.219,0.0655,0.187,Sad
Troll Under the Bridge,0.18,0.736,0.932,124.514,0.182,-3.726,0.271,0.146,Angry
1000 Rounds,0.161,0.825,0.7609999999999999,149.97,0.3339999999999999,-5.388999999999999,0.104,0.0111,Angry
Sacrifice,0.187,0.767,0.5760000000000001,139.99,0.0968,-9.683,0.256,0.145,Calm
TakingOutTheTrash,0.288,0.8140000000000001,0.575,120.004,0.109,-9.635,0.0635,0.172,Calm
Io sono qui,0.348,0.812,0.813,128.066,0.0758,-5.582999999999999,0.0984,0.0987,Angry
Paris,0.196,0.8490000000000001,0.648,212.15,0.0984,-6.188,0.0832,0.0725,Angry
Murder,0.156,0.602,0.578,114.956,0.1639999999999999,-5.61,0.0283,0.0343,Calm
High 'N Mighty,0.72,0.8759999999999999,0.768,111.958,0.283,-6.606,0.201,0.1119999999999999,Happy
Euronymous,0.293,0.777,0.711,139.97299999999998,0.205,-3.902,0.1369999999999999,0.312,Angry
Hades,0.332,0.8290000000000001,0.59,112.97,0.114,-7.818,0.263,0.0391,Calm
Squeeze,0.21,0.787,0.727,141.52,0.376,-7.194,0.265,0.000997,Angry
No Teeth,0.3979999999999999,0.705,0.648,130.037,0.373,-10.467,0.141,0.00476,Angry
Bang Ya Fucking Head,0.0797,0.69,0.76,125.013,0.134,-5.431,0.0895,0.0525,Angry
Hold Uh,0.2239999999999999,0.838,0.634,114.771,0.111,-8.076,0.0931,0.00537,Angry
Bone Saw,0.474,0.964,0.51,130.028,0.0549,-7.002999999999999,0.242,0.000214,Calm
Coffin Wave,0.561,0.83,0.387,120.006,0.0926,-12.908,0.345,0.0858,Calm
OhNo!,0.2789999999999999,0.455,0.525,119.999,0.125,-12.692,0.0455,0.136,Calm
OakGroveRoad,0.522,0.745,0.688,114.997,0.077,-9.263,0.103,0.264,Calm
WhatWasThat,0.128,0.722,0.519,199.974,0.1889999999999999,-12.871,0.0516,0.0253,Calm
FunnyToSeeYouHere,0.153,0.657,0.473,150.029,0.108,-12.050999999999998,0.0368,0.2319999999999999,Calm
John Dee,0.168,0.936,0.474,129.999,0.111,-9.694,0.3929999999999999,0.0213,Calm
Kybalion,0.218,0.765,0.62,219.808,0.16,-7.337999999999999,0.14,0.0643,Angry
Killer,0.256,0.65,0.952,209.998,0.337,-2.6860000000000004,0.5,0.0912,Angry
Eternal Dreams,0.0396,0.563,0.68,180.218,0.122,-5.952999999999999,0.39,0.236,Angry
